n;citazione
1;A bene placito
2;A capite ad calcem
3;A cruce salus
4;A Deucalione
5;A fortiori ratione
6;A latere
7;A mari usque ad mare
8;A mortuo tributum exigere
9;A pedibus usque ad caput
10;A posse ad esse non valet consequentia
11;A quo
12;Ab aestu et tempestate
13;Ab aeterno
14;Ab antiquo
15;Ab assuetis non fit passio
16;Ab epistulis
17;Ab hoc et ab hac
18;Ab illo tempore
19;Ab imis
20;Ab immemorabili
21;Ab imo corde
22;Ab imo pectore
23;Ab incunabulis
24;Ab initio
25;Ab Iove principium
26;Ab irato
27;Ab ovo
28;Ab ovo usque ad mala
29;Ab tam tenui initio tantae opes sunt profligatae
30;Ab uno disces omnis
31;Ab Urbe condita
32;Abacus harmonicus
33;Absente reo
34;Absentem laedit, qui cum ebrio litigat
35;Absit iniuria verbis
36;Absit omen
37;Absolvo
38;Abyssus abyssum invocat
39;Accessus
40;Accidere ex una scintilla incendia passim
41;Accipe hoc
42;Accipio omen
43;Acta est fabula, plaudite!
44;Acta non verba
45;Actio personalis moritur cum persona
46;Actioni non natae non praescribitur
47;Ad abundantiam
48;Ad audiendum verbum
49;Ad explorandum
50;Ad hoc
51;Ad honorem
52;Ad horas
53;Ad interim
54;Ad kalendas graecas
55;Ad libitum
56;Ad maiora
57;Ad maiorem Dei gloriam
58;Ad multos annos!
59;Ad nauseam
60;Ad nutum
61;Ad oculum
62;Ad perpetuam rei memoriam
63;Ad personam
64;Ad quem
65;Ad unguem
66;Ad usum Delphini
67;Ad usum fabricae
68;Adaequatio rei et intellectus
69;Adfinitas iure nulla successio permittitur
70;Adoptio naturam imitatur
71;Advocatus diaboli
72;Aequam memento servare mentem
73;Aeque principaliter
74;Aere perennius
75;Aes triplex
76;Aetas Ovidiana
77;Age quod agis
78;Agnosco stilum Romanae ecclesiae
79;Agnosco veteris vestigia flammae
80;Agnus Dei
81;Agri Decumates
82;Albo signanda lapillo
83;Alibi
84;Aliena vitia in oculis habemus a tergo nostra sunt
85;Alii bella gerunt, tu felix Austria nube
86;Aliquando et insanire iucundum est
87;Aliud pro alio
88;Alma mater
89;Alter ego
90;Alterius non sit qui suus esse potest
91;Amantes amentes
92;Amaritudo ipsa ridicula est
93;Amici vitia si feras, facis tua
94;Amicum secreto admone, palam lauda
95;Amicus certus in re incerta cernitur
96;Amicus omnibus, amicus nemini
97;Amicus Plato, sed magis amica veritas
98;Amittit merito proprium qui alienum appetit
99;Amor et deliciae humani generis
100;Amor fati
101;Amor patriae nostra lex
102;Amore, more, ore, re
103;An debeatur
104;Anglice
105;Angulus ridet
106;Animum debes mutare non caelum
107;Animus meminisse horret
108;Anno Mundi
109;Annus mirabilis
110;Ante litteram
111;Ante meridiem
112;Antemurale Christianitatis
113;Apertis verbis
114;Aquila non captat muscas
115;Arbiter elegantiae
116;Arbor infelix
117;Arcades ambo
118;Argumentum ad hominem
119;Ars est celare artem
120;Ars gratia artis
121;Artificia docuit fames
122;Asinus portans mysteria
123;Audacter calumniare, semper aliquid haeret
124;Audendum est: fortes adiuvat ipsa Venus
125;Audentes Fortuna iuvat
126;Audi, vide, tace, si tu vis vivere
127;Aut aut
128;Aut Caesar, aut nihil
129;Avanti Cristo
130;Ave atque vale
131;Ave, Caesar, morituri te salutant
132;Avviso ad opponendum
133;Barba non facit philosophum
134;Barbaque erat promissa
135;Beata solitudo, sola beatitudo
136;Beati monoculi in terra caecorum
137;Beati pauperes spiritu
138;Beati possidentes
139;Beatus ille qui procul negotiis
140;Bella matribus detestata
141;Bellum omnium contra omnes
142;Bene vixit qui bene latuit
143;Bis dat, qui cito dat
144;Bononia docet
145;Brevis esse laboro, obscurus fio
146;Busillis
147;Caelo tonantem credidimus Iovem regnare
148;Caelum, non animum mutant qui trans mare currunt
149;Cane Nero magna bella Persica
150;Canis a non canendo
151;Canis canem non est
152;Cantabit vacuus coram latrone viator
153;Captatio benevolentiae
154;Caput mortuum
155;Caput mundi
156;Carere debet omni vitio qui in alterum dicere paratus est
157;Carmina non dant panem
158;Carpent tua poma nepotes
159;Carthago delenda est
160;Casta est quam nemo rogavit
161;Casta fuit, domum servavit, lanam fecit
162;Castigat ridendo mores
163;Casum sentit debitor
164;Casus belli
165;Casus foederis
166;Causa causae est causa causati
167;Causa patrocinio non bona peior erit
168;Causa sui
169;Cave canem
170;Cave ne cadas
171;Caveant consules
172;Caveat lector
173;Cerebrum non habet
174;Certa amittimus, dum incerta petimus
175;Certum est quia impossibile est
176;Ceteris paribus
177;Chorda semper oberrat eadem
178;Cineri gloria sero venit
179;Cito longe tarde
180;Clavis aurea
181;Clerici vagantes
182;Cogitare et agere, sed non perficere
183;Cogito ergo sum
184;Commodus discessus
185;Communicatio idiomatum
186;Communis opinio
187;Compos mentis
188;Concordia civium murus urbium
189;Concordia parvae res crescunt, discordia maximae dilabuntur
190;Consanguineus lethi sopor
191;Consensus universalis ecclesiae
192;Consilia qui dant prava cautis hominibus et perdunt operam et deridentur turpiter
193;Constanter et non trepide
194;Consummatum est
195;Contra legem facit qui id facit quod lex prohibet
196;Contra potentes nemo est munitus satis
197;Contra vim mortis non est medicamen in hortis
198;Contradictio in adiecto
199;E pluribus unum
200;Fabas indulcat fames
201;Gallia est omnis divisa in partes tres
202;Contraria contrariis curantur
203;Conventio ad excludendum
204;Coram populo
205;Corpus separatum
206;Corruptissima re publica plurimae leges
207;Cras credo, hodie nihil
208;Credendo vides
209;Credo quia absurdum
210;Credo ut intelligam
211;Cui prodest?
212;Cuique suum
213;Cuius est solum eius est usque ad coelum et ad inferos
214;Cum grano salis
215;Cunctando regitur mundus
216;Cur nimium adpetimus? Nemini nimium bene est
217;Cura, ut valeas!
218;Curator ventris
219;Currenti calamo
220;Curriculum
221;Cursus honorum
222;Da ubi consistam
223;Damnatio ad bestias
224;Damnatio ad metalla
225;Damnatio memoriae
226;Dat veniam corvis, vexat censura columbas
227;Date obolum Belisario
228;Datio in solutum
229;Datur omnibus
230;De auditu
231;De cuius
232;De dato
233;De facto
234;De iure
235;De lana caprina
236;De mortuis nihil nisi bonum
237;De omnibus rebus et de quibusdam aliis
238;De plano
239;De probrum
240;De quo
241;De repetundis
242;De rustica progenie, semper villana fuit
243;De stercore Ennii
244;De vi
245;De visu
246;Debemur morti nos nostraque
247;Decipimur specie recti
248;Defensor Fidei
249;Dei facientes adiuvant
250;Deminutio capitis
251;Dente lupus, cornu taurus petit
252;Dente superbo
253;Deo Optimo Maximo
254;Deo gratias!
255;Derideri merito potest qui sine virtute vanas excercet minas
256;Desertum fecerunt et pacem appellaverunt
257;Desinit in piscem
258;Desipere in loco
259;Deus, ecce deus
260;Deus advertat
261;Deus ex machina
262;Deus lo volt
263;Deus nobis haec otia fecit
264;Deus sive Natura
265;Di meliora piis
266;Diameter Spherae Thau Circuli Crux orbis non orbis prosunt
267;Dicebamus hesterna die
268;Dictum factum
269;Diem perdidi
270;Dies aureo signanda lapillo
271;Dies irae
272;Difficile est longum subito deponere amorem
273;Difficiles nugae
274;Diligite iustitiam qui iudicatis terram
275;Dimidium facti, qui coepit, habet
276;Disciplitus est prioris posterior dies
277;Discite iustitiam moniti, et non temnere divos
278;Divide et impera
279;Do ut des
280;Doctum doces
281;Dolus an virtus quis in hoste requirat?
282;Domenica in albis
283;Domi militiaeque
284;Donec eris felix, multos numerabis amicos,  tempora si fuerint nubila, solus eris
285;Dopo Cristo
286;Dramatis personae
287;Ducunt volentem fata, nolentem trahunt
288;Dulce bellum inexpertis
289;Dulce et decorum est pro patria mori
290;Dulces moriens reminiscitur Argos
291;Dulcia linquimus arva
292;Dum Romae consulitur, Saguntum expugnatur
293;Dum nihil habemus maius, calamo ludimus
294;Dum vitant stulti vitia in contraria currunt
295;Eadem mutata resurgo
296;Ecce iterum Crispinus
297;Ecclesia semper reformanda
298;Eheu fugaces labuntur anni
299;Eiusdem furfuris
300;Electa una via, non datur recursus ad alteram
301;Elephas indus culices non timet
302;Emunctae naris
303;Epicuri de grege porcum
304;Epistula non erubescit
305;Erga omnes
306;Eripe me his, invicte, malis
307;Ero mors tua, o mors
308;Errare humanum est, perseverare autem diabolicum
309;Errata corrige
310;Error, conditio, votum, cognatio, crimen
311;Estote parati
312;Et al
313;Et campos ubi Troia fuit
314;Et cetera
315;Et facere et pati fortia romanum est
316;Et formosos saepe inveni pessimos, et turpi facie multos cognovi optimos
317;Et in Arcadia ego
318;Etiam capillus unus habet umbram suam
319;Etiam periere ruinae
320;Etsi deus non daretur
321;Eventus docet: stultorum iste magister est
322;Ex abrupto
323;Ex adiuvantibus
324;Ex ante
325;Ex cathedra
326;Ex commodo
327;Ex concordia felicitas
328;Ex dono
329;Ex eodem ore calidum et frigum efflare
330;Ex falso sequitur quodlibet
331;Ex genere Achillis
332;Ex informata conscientia
333;Ex libris
334;Ex me natam relinquo pugnam Leuctricam
335;Ex nihilo nihil fit
336;Ex nunc
337;Ex opere operato
338;Ex ore parvulorum veritas
339;Ex post
340;Ex professo
341;Ex ungue leonem
342;Ex vivo
343;Ex voto
344;Excelsior!
345;Excusatio non petita, accusatio manifesta
346;Exempli gratia
347;Exoriare aliquis nostris ex ossibus ultor
348;Expende Hannibalem
349;Extra Ecclesiam nulla salus
350;Extra moenia
351;Extra omnes
352;Extrema ratio
353;Faber est suae quisque fortunae
354;Facilis descensus Averno
355;Facit indignatio versum
356;Factotum
357;Fallaces sunt rerum species et hominum spes fallunt
358;Fama crescit eundo
359;Fama volat
360;Famam curant multi, pauci conscientiam
361;Fate vobis
362;Fato Metelli Romae fiunt consules
363;Felix qui potuit rerum cognoscere causas
364;Feriuntque summos fulmina montes
365;Fervet olla, vivit amicitia
366;Fervet opus
367;Festina lente
368;Fiat iustitia, ruat caelum
369;Fiat iustitia et pereat mundus
370;Ficta confessio
371;Fidus Achates
372;Finis Poloniae
373;Fluctuat nec mergitur
374;Foenum habet in cornu
375;Forma mentis
376;Forsan et haec olim meminisse iuvabit
377;Fortiter ille facit qui miser esse potest
378;Fortuna vitrea est, tum cum splendit, frangitur
379;Fortunam criminis pudeat sui
380;Fortunate senex
381;Frangar, non flectar
382;Frustra habet qui non utitur
383;Fumus boni iuris
384;Fumus persecutionis
385;Functus est munere suo
386;Furor Teutonicus
387;Furor arma ministrat
388;Gaudeamus igitur
389;Gaudet Mater Ecclesia
390;Genus irritabile vatum
391;Germani fingunt et credunt
392;Gloria victis
393;Graeca per Ausoniae fines sine lege vagantur
394;Graeca sunt, non leguntur
395;Grammatici certant et adhuc sub iudice lis est
